max_depth,nrounds,eta,gamma,brier_score,auc
3,100,0.1,0.3,0.20295246737975825,0.7462697807255445
3,200,0.1,0.3,0.200321264629313,0.753794005182899
3,100,0.11,0.3,0.20262967549629712,0.7472052089131636
3,200,0.11,0.3,0.19979706343933157,0.7553808996917275
3,100,0.12000000000000001,0.3,0.2021712264057658,0.7485849279949714
3,200,0.12000000000000001,0.3,0.19940552797580452,0.7565506042064676
3,100,0.13,0.3,0.2020044230990167,0.7487482118939451
3,200,0.13,0.3,0.1994949727581322,0.7560458259376913
3,100,0.14,0.3,0.20152407597600686,0.7502793253627966
3,200,0.14,0.3,0.19884025917062545,0.7580765639123234
3,100,0.15000000000000002,0.3,0.2014043102701594,0.750641413207588
3,200,0.15000000000000002,0.3,0.19877570098587702,0.758245845627051
3,100,0.16,0.3,0.20105764536753826,0.7518091134157783
3,200,0.16,0.3,0.19809383357037855,0.7601960902347957
3,100,0.17,0.3,0.20101673215341767,0.7517686224219209
3,200,0.17,0.3,0.19816921172167806,0.7599548019732222
3,100,0.18,0.3,0.2003728823016657,0.7536931643187497
3,200,0.18,0.3,0.1977213530496064,0.7612794194941965
3,100,0.19,0.3,0.2003938452618444,0.75373965960145906
3,200,0.19,0.3,0.1975158632262049,0.7618620404942751
3,100,0.2,0.3,0.2003174975863498,0.7539296418915256
3,200,0.2,0.3,0.19734968305839878,0.7621910333501475
4,100,0.1,0.3,0.19917646710767214,0.7573189852712766
4,200,0.1,0.3,0.19635588933868908,0.7651715382092554
4,100,0.11,0.3,0.19887006880941502,0.7582131690356531
4,200,0.11,0.3,0.1958344845678586,0.766582829336544
4,100,0.12000000000000001,0.3,0.19893715859686043,0.7579352387235692
4,200,0.12000000000000001,0.3,0.19574865338235117,0.7668029686136211
4,100,0.13,0.3,0.19852927638361545,0.7591211971875788
4,200,0.13,0.3,0.1952162571812222,0.7683074535223771
4,100,0.14,0.3,0.19813744086831614,0.7601812205477422
4,200,0.14,0.3,0.19512131889662193,0.7684487098609063
4,100,0.15000000000000002,0.3,0.1978602910669784,0.7610937473066763
4,200,0.15000000000000002,0.3,0.19443823040184122,0.7703430145435394
4,100,0.16,0.3,0.19757185714949357,0.7617330714689761
4,200,0.16,0.3,0.1944036803095101,0.7702847121337845
4,100,0.17,0.3,0.19708516323343728,0.763226559564873
4,200,0.17,0.3,0.19403822066600215,0.7714091524313765
4,100,0.18,0.3,0.19686829415556406,0.7637731059893725
4,200,0.18,0.3,0.19393786744620653,0.77176603002068
4,100,0.19,0.3,0.19672181847941045,0.7641947345671963
4,200,0.19,0.3,0.1934424555833539,0.7729053986555174
4,100,0.2,0.3,0.19621177112293114,0.7654601818909645
4,200,0.2,0.3,0.19355447669543416,0.7725164906076967
5,100,0.1,0.3,0.1962530871646404,0.765690143996295
5,200,0.1,0.3,0.19303255015818663,0.7740806308037057
5,100,0.11,0.3,0.19583062236281934,0.7668115140838542
5,200,0.11,0.3,0.19252258881649523,0.7755403783662663
5,100,0.12000000000000001,0.3,0.19540165940069754,0.7678925497088366
5,200,0.12000000000000001,0.3,0.19221425517669738,0.7762428530926256
5,100,0.13,0.3,0.1950514546058441,0.7688135642685846
5,200,0.13,0.3,0.19195963650037412,0.7768449606679222
5,100,0.14,0.3,0.19473184783592795,0.7696970238748391
5,200,0.14,0.3,0.19160358993037485,0.7778096437280652
5,100,0.15000000000000002,0.3,0.1944742819991703,0.7705589553299732
5,200,0.15000000000000002,0.3,0.19141507530010432,0.7783086256317459
5,100,0.16,0.3,0.19418939761512377,0.7710082130519315
5,200,0.16,0.3,0.19106057640067442,0.7790064893545755
5,100,0.17,0.3,0.19393466335154766,0.7718317968932894
5,200,0.17,0.3,0.1906428766429482,0.7801750546040542
5,100,0.18,0.3,0.19387774522441759,0.7718477936840262
5,200,0.18,0.3,0.190714330197078,0.7798891207965852
5,100,0.19,0.3,0.19332929234857055,0.773253614454977
5,200,0.19,0.3,0.19026191347517868,0.7809856834223077
5,100,0.2,0.3,0.19302999489032135,0.7740638582219721
5,200,0.2,0.3,0.18980065563705192,0.7823096910989815
6,100,0.1,0.3,0.19318468290061477,0.7740503712278985
6,200,0.1,0.3,0.1898202354398712,0.78265883098223
6,100,0.11,0.3,0.19292308141541964,0.7744981732874074
6,200,0.11,0.3,0.18986140550675254,0.7822683829255306
6,100,0.12000000000000001,0.3,0.19240045606139994,0.7759547635473427
6,200,0.12000000000000001,0.3,0.18889612315713789,0.7848172266894144
6,100,0.13,0.3,0.19203271074563955,0.7767418334270705
6,200,0.13,0.3,0.1886641729540441,0.7853184141541487
